ROWID,Country,State lgd code,State,District lgd code,District,YearCode,Year,Social group type,Land area size,Category of holdings,Net area sown,Area under current fallows,Net area cultivated,Uncultivated area 
131,India,1,Jammu And Kashmir,4,Doda,2015,"Agriculture Year (Jul - Jun), 2015",Others,(0.5-1.0),Marginal,5945.639,247.216,6192.855,942.545
132,India,1,Jammu And Kashmir,4,Doda,2015,"Agriculture Year (Jul - Jun), 2015",Others,(10.0-20.0),Large,0,0,0,0
133,India,1,Jammu And Kashmir,4,Doda,2015,"Agriculture Year (Jul - Jun), 2015",Others,(1.0-2.0),Small,8201.574,280.053,8481.627,1349.223
134,India,1,Jammu And Kashmir,4,Doda,2015,"Agriculture Year (Jul - Jun), 2015",Others,(2.0-3.0),Semi-Medium,3542.384,149.96,3692.344,596.556
135,India,1,Jammu And Kashmir,4,Doda,2015,"Agriculture Year (Jul - Jun), 2015",Others,20 & Above,Large,0,0,0,0
136,India,1,Jammu And Kashmir,4,Doda,2015,"Agriculture Year (Jul - Jun), 2015",Others,(3.0-4.0),Semi-Medium,1438.725,57.928,1496.653,448.047
137,India,1,Jammu And Kashmir,4,Doda,2015,"Agriculture Year (Jul - Jun), 2015",Others,(4.0-5.0),Medium,521.502,18.532,540.034,52.366
138,India,1,Jammu And Kashmir,4,Doda,2015,"Agriculture Year (Jul - Jun), 2015",Others,(5.0-7.5),Medium,304.126,2.745,306.871,4.029
139,India,1,Jammu And Kashmir,4,Doda,2015,"Agriculture Year (Jul - Jun), 2015",Others,(7.5-10.0),Medium,7.65,0,7.65,0
140,India,1,Jammu And Kashmir,4,Doda,2015,"Agriculture Year (Jul - Jun), 2015",Others,Below 0.5,Marginal,4697.106,316.99,5014.096,580.604
141,India,1,Jammu And Kashmir,4,Doda,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(0.5-1.0),Marginal,1264.136,59.162,1323.298,207.402
142,India,1,Jammu And Kashmir,4,Doda,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(10.0-20.0),Large,0,0,0,0
143,India,1,Jammu And Kashmir,4,Doda,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(1.0-2.0),Small,1377.927,103.566,1481.493,230.157
144,India,1,Jammu And Kashmir,4,Doda,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(2.0-3.0),Semi-Medium,600.263,51.539,651.802,64.698
145,India,1,Jammu And Kashmir,4,Doda,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,20 & Above,Large,0,0,0,0
146,India,1,Jammu And Kashmir,4,Doda,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(3.0-4.0),Semi-Medium,155.031,7.111,162.142,12.358
147,India,1,Jammu And Kashmir,4,Doda,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(4.0-5.0),Medium,34.948,3.637,38.585,1.065
148,India,1,Jammu And Kashmir,4,Doda,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(5.0-7.5),Medium,30.6,0,30.6,0
149,India,1,Jammu And Kashmir,4,Doda,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(7.5-10.0),Medium,7.55,0,7.55,0
150,India,1,Jammu And Kashmir,4,Doda,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,Below 0.5,Marginal,1076.582,59.698,1136.28,141.47
151,India,1,Jammu And Kashmir,4,Doda,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(0.5-1.0),Marginal,667.947,17.609,685.556,123.994
152,India,1,Jammu And Kashmir,4,Doda,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(10.0-20.0),Large,0,0,0,0
153,India,1,Jammu And Kashmir,4,Doda,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(1.0-2.0),Small,708.241,8.626,716.867,109.183
154,India,1,Jammu And Kashmir,4,Doda,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(2.0-3.0),Semi-Medium,269.115,0.776,269.891,62.709
155,India,1,Jammu And Kashmir,4,Doda,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,20 & Above,Large,0,0,0,0
156,India,1,Jammu And Kashmir,4,Doda,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(3.0-4.0),Semi-Medium,107.7,0,107.7,0
157,India,1,Jammu And Kashmir,4,Doda,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(4.0-5.0),Medium,21.95,0,21.95,0
158,India,1,Jammu And Kashmir,4,Doda,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(5.0-7.5),Medium,85.55,0,85.55,0
159,India,1,Jammu And Kashmir,4,Doda,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(7.5-10.0),Medium,0,0,0,0
160,India,1,Jammu And Kashmir,4,Doda,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,Below 0.5,Marginal,489.131,38.445,527.576,56.324
161,India,1,Jammu And Kashmir,5,Jammu,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(0.5-1.0),Marginal,26.75,0,26.75,0
162,India,1,Jammu And Kashmir,5,Jammu,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(10.0-20.0),Large,69.3,0,69.3,0
163,India,1,Jammu And Kashmir,5,Jammu,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(1.0-2.0),Small,54.35,0,54.35,0
164,India,1,Jammu And Kashmir,5,Jammu,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(2.0-3.0),Semi-Medium,27.95,0,27.95,0
165,India,1,Jammu And Kashmir,5,Jammu,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,20 & Above,Large,1681.55,0,1681.55,0
166,India,1,Jammu And Kashmir,5,Jammu,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(3.0-4.0),Semi-Medium,7.5,0,7.5,0
167,India,1,Jammu And Kashmir,5,Jammu,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(4.0-5.0),Medium,17.85,0,17.85,0
168,India,1,Jammu And Kashmir,5,Jammu,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(5.0-7.5),Medium,21.8,0,21.8,0
169,India,1,Jammu And Kashmir,5,Jammu,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(7.5-10.0),Medium,18.8,0,18.8,0
